sentimen,text
1,nya sudah salam kenal nya mbak senang bisa kenal sama mbak sebagai manusia kita saling mengingatkan nya sebagai manusia kita harus tau diri jangan sombong yang digedein mentang deh jadi artis haha nya sudah mbak kita cabut saja nya dari komen ada foto ini nanti kita jadi korban dia sel
1,keren ya kesederhananya terpancar jelas suka sama keluarga presiden ini
1,"seorang presiden tanpa embel"" gelar banga sekali"
1,proud of you indonesia god bles indonesia
1,amazing banget mis national costume keren banga sama budaya indonesia
1,ikut banga pastinya
1,proud of you kak dea sangat patut dibangakan
1,suka banget sama pidatox dia cara pembawanx begitu elegan n brwibawah pntas moga dia mdptkan salut
1,aku percaya kak niki orangnya jujur semangat kak niki hebat
1,sama sama mbak gua juga enggak bisa benci nikmir salut malah sama dia enggak munafik artis lain maf image saja di dpan sok baik sok teraniaya n jual air mata nikita ini real sygnya msyarakat kita cendrung yang dilihat apa yang ada di superfisial
1,cantik alami tanpa perlu bedak tebal dan gaya bak tante
1,cantik dan gagah mudahan lancar dampe hari h
1,cantik yang ini dong penampilanya dewasa yang sesuai mukanya cantik indonesia clasy ayu ayu bagaimana begitu
1,lcb cantik sangat lcb beruntung dapat duren dan duren pun beuntung dapat neng lcb sakina mawadah warahmah amin
1,dia ganteng tidak hanya sat berseragam tapi ganteng sat menjadi panutan keluarganya semoga anak saya memiliki fisik yang elok macam mahluk alah ini
1,beruntung banget deh mbak dapat mas ganteng baik sholeh sayang keluarga ini suami idaman banget semoga selalu menjadi keluarga yang samawa
1,semoga mas agus menjadi pemimpin di masa akan datang salah satu pemimpin yang sukses adalah dia sukses dalam memimpin dalam rumah tanga
1,dear bpk cra berpakain bpk sangat lah mencerminkan kepribadian bpk yang sangat lembut tapi tetap gagah semoga bpk keluarga selalu dalam lindungan alah swt salam hormat dari saya yang selalu mengagumi bpk :-)
1,sukses terus kak ayu dan semoga selalu senantiasa dalam naungan alah swt dan sehat selalu amin
1,semoga selalu di berikan kesehatan dan panjang umur ya nek muda banget cantik dan mashalah
1,terimakasih ibu serta seluruh keluarga telah memilih plataran darmawangsa sebagai tempat acara keluarga besar saya selaku bagian staf di plataran darmawangsa sangat terkesan dan sangat menungu kedatangan ibu dan keluarga di lain waktu sehat selalu ibu dan keluarga amin amin ya rabi
1,salam dirgantara terima kasih telah mendukung dan menyebarkan awarenes terkait program pesawat r semoga momen emas ini menjadi titik awal kebangkitan industri pesawat terbang indonesia agar kembali berjaya bersama eyang habibie yuk kita satukan langkah terbangkan pesawat r caranya langsung klik link di bio kami ya
1,semangat ya eyang habibie sehat selalu selalu dalam lindungan alah ambisinya selalu kuat dalam melakukan segala hal keren semoga banyak penurus bangsa seperti eyang habibie
1,memiliki cucu merupakan kebahagian yang tak ternilai cucu sebagai generasi penerus bangsa
1,wah keren dan sat ini tempatnya semakin bagus ibu kapan kapan bernostalgia di sana lagi bersma keluarga
1,cantik dan ganteng-ganteng sehat selalu untuk mereka dan bu ani sekeluarga
1,barakalah dengan cucu yang cantik dan ganteng semoga menjadi anak yang sholeh dan sholeha menjadi kebangan kelg
1,bu cucu bikin hati kita gembira ngangeni kadang kangen sama kecerian mereka salam kangen buat cucu tercinta
1,yang kecil lucu yang tengah ganteng parah yang gede pinternya enggak ketulungan salam hormat saya bu pak
1,terima kasih pak surabaya ibu ani yang selalu menemani beliau sudah memberikan kontribusinya yang sangat luar biasa kepada indonesia selama tahun memimpin semoga selalu bahagia sehat selalu amin
1,setiap caption yang di buat ibu dan setiap kali saya membaca captionya secara tidak langsung saya belajar bahasa ingris terima kasih ibu secara personal saya tidak mengenal ibu anie tapi saya yakin betapa banganya anak cucumu bisa kamu didik ibu menjadi generasi bangsa yang mandiri dan ungul sehat terus ibu semoga cinta kasih dalam keluarga selalu engkau tebarkan untuk mereka
1,asalamualaikum ibu yang terhormat salam dari kami sekeluarga di banda aceh kami semua sangat membangakan keluarga ibu yang sangat membahagiakan kami bila melihat nya sikap etika perilaku keluarga ibu sunguh sangat bijaksana apalagi mas agus ibu suami saya terlebih lagi sangat yakin pada sat bapak mencalonkan diri jadi presiden dulu beliau sangat banga pada bapak salam hangat dan perkenalan dari keluarga kami ya bu (darmanto rapi photo studio)
1,senang lihat ibu n bpk surabaya menikmati hari tua bersama cucu tercinta sehat terus ya memo n pepo alah swt melindungi memo n pepo n keluarga
1,semangat mebangun indonesia yang lebih maju pak jokowi
1,artis berkualitas wajahnya ituloh berkualitas banget hihi cantik banget top deh enggak pakai drama dan gimick hidupnya hihi tajir tapi sederhana
1,mbak via sptnya siyok melihat kejamnya dunia per artis an mudahan tetap sabar tetap berkarya dengan baik
1,selalu suka sama via orang nya jujur apa adanya kagak gimickan hidupnya hitam ya hitam putih ya putih kalau mengomong blakan kalau enggak suka dia mengomong jadi enggak pura(gw banget sih) apa adanya enggak munafik seperti ajaran orang tua gue jangan suka memberi senyum kepalsuan enggak kayak artis yang sono noh yang mulutnya lebar kaya gorong tukang ngibul munfik banget kalau ditanya wartawan juga jawabnya perilaku sama omongan enggak balance
1,go a head via cuekin ajalah sudah biasa itu dalam pergaulan dunia kerja dan masyarakat biasa apalagi pergaulan ertong pastilah ada yang gatel bin sirik kalo lihat orang sukses angep saja kuman enggak usah dibikin status malah kesenengan mereka ada bahan buat ngetawain betul enggak
1,gagah kali abang borisq ini kalo enggak baca nmx benar enggak engah kalo itu bang boris
1,wew banga kali aku lihatnya bang pakai baju adat karo syip
1,bagus banget baju dan pengantinya hapy weding
1,masyalah bagus banget
1,gila suaranya keren parah suka
1,lebih keren dari penyanyi aslinya
1,keren sampai merinding baru
1,yatuhan suaranya bagus banget
1,keren suaranya super merdu coba ikut audisi nyanyi pasti bakatnya bisa tersalurkan
1,bagus daripada beberapa artis yang modal tampang doang padahal suara juga jelek mendingan mas ini yang nyanyi memang dasar nasib orang ya enggak ada yang tau semoga masnya bisa sukses
1,dgrin ini sampai bulu kuduk naik saking bgusnya masyalah apik banget suaranya
1,subhanalah tergetar hati dengar suara nya
1,masa alah suaranya bagus banget cantik lagi orangnya idaman semua cowok
1,bagus suaranya penampilanya juga sesuai anak sekolahan natural dan sesuai dengan usia nya
1,keren suaranya bagus
1,cantik polos apa adanya tapi kelihatan berbakat semoga kalau sudah tenar gek jadi selebgram kalian enggak kayak sih mbak novilda ya dek yang kehilangan arah tetaplah begini jangan cepat tumbuh dewasa dan terus asahlah bakat kalian alah bles you both
1,bagus ini enggak kayak yang pengin terkenal rambut di alusin dulu muka di makeup dulu biar dikamera keren hahaha kalau mereka benar benar kelihatan lagi lelahnya habis pulang sekolah
1,di ulang berkali kali sampet enggak percaya kalo ini suara aslinya bagus banget
1,alhamdulilah masih ada kidz zaman niw yang berkarya sewajar seumuranya bukan yang sok gede
1,aduh keren suaranya enak nge jaz bagaimana begitu muka mah belakangan saja entar kalo sudah tenar juga muka mengikuti hahahahahaha skil dulu nomer ini batu abege jaman now
1,keren nih enak banget didengernya enggak bosan puter ulang daripada yang lipsing enggak jelas joget begitu
1,waduh keren banget adek emesh
1,kalo aku sih yes banget coba ya seandaix anak buat video seperti begini atau video kreativ lainya kan bagus daripada buat video mesum atau ngelem dulu yang berbau negativ bikin dosa dan maluin orang tua dan diri sendiri
1,bagus + dandanya natural enggak banyak permak kayak anak jaman now lainya
1,keren padahal nyanyinya santai banget
1,polos keren enggak neko kayaknya jos
1,yes bagus banget kids jaman now yang begini yang diksh jempol
1,wajah anak skul banget ya mase alami banget suka lihatnya lagu sama suara keren palg yang pakai bando suaranya mantap
1,keren suaranya dasarnya cantik tinggal di poles dikit bersinar
1,pembagian suaranya pas banget pecah suaranya juga cakep
1,keren banget suaranya tinggal dipermak saja biar tambah cantik viralkan
1,keren suaranyah okeh ketjeh badaik ughlala
1,yes yes yes mengira lypsinc habisnya mirip sih suaranya eh pas duanya nyanyi bareng baru engah asli keren
1,keren yang penting punya bakat dulu entar juga kalo sudah jadi artis banyak duit mukanya bisa cemerlang
1,keren min orang yang berbakat kayak begini yang harus di up ke publik
1,keren banget suaranya nah kayak begini dong kids jaman now
1,mrinding bagus pol ada jaga ya dek kepolosanya jangan smpek kayak sih aw dk
1,keren sumpah kebangetan bagusnya
1,ya ampun lakikny ganteng rini nya juga cantik mungil pula sekarang
1,suaminya swet keliatanya sayang banget sama istrinya ganteng lagi ha sok swet lah semoga langeng sluö
1,"wah mbak rini hamil ya selamat ya mbak semoga kandunganya sehat"" saja juga mbak rininya makin bahagia di hamil yang pertama dan semoga lancar di proses persalinanya nanti"
1,kasihan anaknya jangan sampai anaknya rusak juga kayak emaknya ya
1,kalo pasangan cantik + ganteng suka deh lihatnya
1,"wah akhirnya hamil lagi juga selamat ya mbak sandra semoga kehamilanya makin sehat"" saja makin fit dan semoga lancar di prosesi persalinanya nanti wah sudah jadi calon ibu nih"
1,ikutan hapy suka banget sama nih couple salah satu pasangan sempurna menurut gue
1,pernah lihat di infotainment sebelum nikah waktu ditanya persiapanya jelang pernikahan sandra dewi bilang kalo dia sama calon suaminya pengin banget cepat punya anak nanti habis menikah karena mereka suka anak kecil bahkan mereka sudah prepare program yang akan mereka lakukan kalo dalam waktu dekat belum dikasih anak but finaly congrats semoga lancar dan sehat terus sampai lahiran
1,keluarga ter-humble ter-sempurna ter-sederhana dan enga pernah sok terlihat kayak dan enggak pnah manja pakai pesawat jet pribadi kayak yang lain lain
1,bunda maia cantik semoga selalu sukses sehat terus ya cantik wajahnya secantik hatinya
1,artis yang gue kagumin nikah muda enggak neko sayang keluarga sayang suami mengutamakan anak enggak puyeng sama dunia hiburan dan ke artisan padahal tajir mampus plus enggak alay dan enggak aneh salut sama nia smiga selalu samawa ya nia and famz
1,iya aku sih jujur bukan fan nia biasa saja sama dia pas dia tenar banget sama sinteronya juga aku biasa saja tapi makin ke sini kalau soal urusan keluarga aku salut sama dia dia kan masih muda ya itunganya sama aku cuma beda - t
1,smnjk habis nikah auranya keluar banget suaminya juga kelihatan sayang dan nia nya kelihatan baik begitu tulus suka deh lihatnya
1,mungkin si mbak nya marah karena ada kata yang enggak enak dari yang komen wajar lah kalau dia marah toh itu kan cuma foto biasa saja kok jadi malah mbak nya yang ada buly sampai bawa fisik sgala kan enggak bagus pintar lah kita mnyikapi medsos
1,cantik banget ya punya anak cewek begini puyeng kali ya jaga nya
1,iya betul mbak ariel enggak ganteng tapi ariel punya kharisma yang menarik sudah tua pun sekarang agak keriput wajahnya tapi saja kharisma nya sebagai lelaki kelihatan lebih terpancar buktinya mama dan tante saya makin tergila sama ariel dan sa
1,jadi manusia saling menghargailah kalo tulisan yang ditulis itu tidak berguna bahkan menyakiti hati orang lain ya sebaiknya tidak usah tulis pergunakan sosmed dengan smart ya guys
1,entah kenapa kalo lihat bergaya apapun tapi kelihatan bagus suka sama lagu nya sukses terus kak
1,banyak banget emasnya jadi salpok diemasnya tapi sumpah lagunya dan music nya keren bngat apalagi konsep mv nya ia ambil handel kan keren menurut saya kalo denada taro kutang diluar itu karena masih minim perestasi tapi kalo agnes itu hal wajar prestasi dan dunia fashion kalo artis indonesia ia selalu ungul karena ia berani meski enggak cocok ia pakai
1,coba deh yang pada kritik itu bikin karya sendiri siapa tau lebih bagus dari yang mereka kritik
1,pada protes kenapa sih yang protes itu coba usaha deh jangan kira usaha dia pendek ya butuh waktu lama dia agar bisa go international jangan cuma protes kalau pengin yang kalian inginkan ya kaliam sendiri dengan cara sendiri agar kalian bisa go international
1,keren enggak suka sama agnes tapi suka sama lagu ini n jadi suka juga sama nya nyanyi santai lagunya tapi asyik
1,"bandingkan lagu go internasional yang paling ngena di gue ini seru enak didenger tapi tumben agnes enggak memberikan bumbu indonesianya kayak ada batik"" begitu atau apa"
1,nah ini baru keren daripada mbak mbak superman wkwkwk
1,sumpah gua suka banget sama lagu dia yang ini asik banget di dengernya
1,enak banget mak lagu dialbumnya paling suka yang ini sama beautiful mistake
1,mantap gue suka banget sama agnes karena dia artis yang bertalenta dan ke kayan dia enggak pernah dipamer kaya artis ygblain gue suka dia enggak pernah pamer keren banget
1,enak musik nya apa lagi lihat kak agnes nya dance kayak nya nyaman dan enak banget tuh kayak nya
1,asik bgts dancenya apa lagi lagunya mancap
1,ganteng banget meski aura kencang banget diragukan semoga langeng mami
1,mami depe cantik banget awet muda enggak kalah sama penyanyi pendatang baru semoga samawa
1,ganteng yes mami cocok deh sama babang semoga langeng ya unch lope mami
1,mbak dewi jadi lebih sabar keliahatanya keren semoga semakin langeng
1,soal pasangan hidup ijk salut sih sama mami depe enggak matre n neko yang penting single n cocok doi mau diajak merit enggak kayak tetanga sebelah saking matrenya suami orang di embat juga
1,mau duda mau singel itu enggak masalah yang penting laki jaman sekarang setia menemani dunia akhirat amin god luck dewi persil sehat selalu dalam berkarya
1,muantep ganteng selamat menempuh hidup baru moga langeng rumah tangax bahagia n seladem ayem
1,mbak depe langeng ya karo masny mbak ibuku fan banget sama mbak depe dari mbak sama mas saiful dulu sampai bilang jadi pembntuny gapapala katanya pengin banget ketemu mbak depe ibuku kami dijambi mbak
1,jangan di dengar kata yang menyakitkan hati lebih baik tenang menjalani saja dengan pilihan andah sendiri bahagia itu biasanya ada di kata hatimu maju terus dan sukses bersama pasangan mu
1,cakep ganteng pacarnya dewi persik sudah ini saja jangan ganti lagi ya dewi
1,beruntungnya bela orang jadi fokus sama komen lakinya coba kalo enggak pasti model bajunya yang diceramahin sama netizen
1,beginilah pasangan suami istri yang normal romantisme hanya dia dan istri yang tau enggak perlu diumbar tapi dijaga yang suka umbar kemesran iti kebanyakan menutupi kenyatan yang sebenarnya
1,menaksir sama ceweknya kayanya lembut banget kaya bolu
1,cewex luar biasa cantik cowox mah hehe
1,cewenya cantik the power of tajir
1,alhamdulilah lebih ganteng babang emran ya
1,alhamdulilah enggak jadi sama yang ini engku emran masyalah ganteng anteng sabar sholeh penyanyang senyumnya cute bawa perasaan deh
1,cantik manis cewek nya cocok ajalah
1,cewenya manis cakepan yang sekarang dari yang kemarin enggak jadi
1,yang ini lebih cantik sih hebat juga ini laki ciwik nya cakep lho
1,semoga betul kalo sama yang ini mah kalo bela mah sudah dapat yang amat sangat pas lah
1,semoga enggak putus lagi ya kak bela sudah bahagia banget tuh enggak malu
1,yampun cantik banget asli angun
1,eum setuju sekali memang cantikan ini dari pada yang sebelumnya lebih wow terbaik terpelihara hehe
1,cantik senyumnya mirip maudy kusnaedi
1,"dari kisah jevin radhini rini gue jadi belajar hal ""kalau memang jodohmu maka akan ada saja jalanya"" gue kebetulan mengikuti dari awal gue menonton pas live the remix jevin mengomong 'itu pacar saya nonton' sambil nunjuk radhini gue juga menonton pas jevin memeluk radhini erat banget di backstage setelah lolos ke final kelihatan jevin ini anaknya gentle tulus dan penyayang tapi alah maha pembolak-balik hati mei ' jevin radhini pacaran sept ' jevin rini dipasangin the remix des ' final the remix jangan ' jevin radhini putus feb ' jevin rini pacaran april ' jevin ngelamar rini feb ' jevin rini tunangan mei ' jevin rini nikah alah works ini many ways alah's plan is beter tahan our plan jevin yang dulunya berfikiran akan nikah umur siapa sangka di umur dan dalam waktu pacaran baru bulan sudah yakin ngajakin anak orang nikah ah hapy weding soundwave bahagia selalu"
1,kalau kita bisa mengartikan jodoh ini lah yang di bilang jodoh cantik lahir batin tapi kalau enggak jodoh perpisahanlah yang terbaik
1,pingkan ini suaranya enak banget bindeng bagaimana begitu berciri khas ibarat gue merem dengar suaranya gue sudah langsung tauk
1,hatinya terbuat dari apa ya mbak gigi yang berhati luarbiasanya saja sampai di benci coba sebutin heternya mbak kesalahan apa yang mbak gigi lakukan :'( duh aku saja jadi suka sama sifatnya
1,suka banget banget nih sama ini artis enggak neko neko ternyata masih lahiran
1,"alhamdulilah ada juga yang ngepost ayangnya ibel biarkan deh damai seisi dunia masing sudah punya pasangan jadi enga ada lagi yang bilang ibel pho hapy b""day ibel"
1,ini kakaknya muridku waktu masih mengajar di sekolah internasional mihil anaknya cantik dan sih ibu dan bpk ramah dan baik banget seluruh sepupunya di sekolah yang sama yang uang masuknya saja jtan lbh/siswa enggak tau sekarang berapa
1,justru karena kak bela sholehah punya penghasilan sendiri dan cantik jadi alah mau kasih jodoh yang lebih baik lagi
1,mbak bela nikahnya berdasarkan atas dasar agama mbak yang diutamakan ya biar lakinya dapat yang baik saya yakin banyak laki yang baik dan kayak raya yang mau menikahi mbak
1,duh geulis kitu ditingal sama yang 'itu' duh hahaha jodohnya pasti alah kasih yang lebih baik teh
1,bu amel sudah lama enggak ke bank kangen bu amel yang cantik ramah baik sama kangen tentenganya hihi tanya sih mbak bu amelnya pindah rumah dan lagi hamil sehat ya bu amel salam buat anabel
1,ambil positifnya saja mbak toh oma nani yang menjalankan mau mbak bilang bagaimana enggak mungkin kan oma langsung cerai karena itu sudah pilihan hidup dia bagaimana jadi lebih baik didoakan semoga langeng karena menikah juga ibadah heheu
1,alesha arti namanya : yang dilindungi alah amin yra ya nak
1,semoga anak nya besok pas bangun langsung jadi dewasa biar bisa bakal jodoh saya pasti gedenya entar sama cakep kayak kakaknya fahri
1,min minta doanya juga buat saya mudahan dilancarkan dan selamat sat melahirkan bulan mei ini amin
1,wah hamil malah makin cantik cewek kali ye adek bayi nya
1,mbak acha cantik banget banget banget buat calon ibu yang belum ada kasih momongan sama alah semoga di segerakan ya
1,gemulai'nya momo bak putri keraton jawa semoga bersatu selama'nya dan cuma maut yang memisah'kan gbu
1,berasa kayak mau mangung ke semoga lancar dan cepat punya momongan biar ada princes kecil momo atau enggak prince
1,wah sama dokter sigit ya ini dokter the best banget baik banget humble orgnya recomend banget buat yang mau program dan kehamilan
1,ashanti bunda the best selalu belain/suport anaknya mskipun bukan anak kandung
1,semua orang berhak untuk melakukan apapun yang mereka suka asal enggak mrugikan dirinya ataupun ornglain mau aurel dandan berlebihan atau natural itu hak dia apalagi aurel pintar banget dandanya kelihatan cantik banget
1,beruntung sih aurel dapat ibu sambung kayak ashanti
1,salut sama bunda mskipun ibu sambung tapi selu jadi orang yang plingbdpan mbela aurel n azriel dari pra haters
1,keren ya ashanty segitu sayangnya sama anak nya(padahal bukan anak kandung) yang ibu kandung saja belum tentu begitu ini orang hatinya kayak bidadari di tv tv beruntung banget itu aurel azriel punya ibu tiri macam dia
1,"salut buat bunda selalu yang trdpan melindungi ank""yh mngalahin ibu kandung sendiri yang cuma diam saja buat aurel apa yang salah percaya diri dia juga manusia ciptan alah kalau pun dia lebih segala ya dari yang suka nyinyir masalah pnampilan berarti deh nasib tuh orang enggak bisa seperti aurel yang lebih baik n bagus dari yang nyinyir"
1,ibu tiri terhebat entar palingan kalo deh an dia baru perawatan sekarang masih muda kasihan kalo di paksa perawatan cuma ya paling tutup mata tutup kuping sekarang mah
1,aurel itu cantik tau pernah lihat asli nya kok orang sirik itu yang menjelek jelekanya padahal muka sendiri belum tente lebih cantik dan muda daripada aurel aurel difoto menampak putib bilangnya suntik putih kelihatan hitam dibilang enggak bisa ra
1,astagfirulah mbak tolong ucapanya dijaga ya alah menciptakan manusia dengan sempurna kok mbak mengomongnya kayak begitu aurel cantik kok wajar manusia ada kekuranganya dan mbak ashanti wajar membela anaknya bukan caper ya mbak sia
1,aurel itu perempuan hebat ingat banget kejadian zaman pipi mimi nya dilihat didepan mata dia sendiri enggak semua anak bisa strong kayak dia yang nyinyir pasti iri karena aurel bisa punya keluarga bahagia kayak sekarang yang bilang bundanya ash lebay mungkin belum punya anak hati sayang kamu juga perempuan nanti bakal jadi ibu bayangkan anakmu yang jadi korban buly
1,ganteng ini kalo enggak salah managernya semoga ada lancarkan ya
1,mukanya mirip insya alah jodoh dunia akhirat mbak ami
1,cantik banget ya kak depe enggak kelihatan loh kalo dia pernah nikah seperti masih gadis wajah nya cantik semoga lancar sampai hari h kak depe bahagia dunia akhirat amin
1,dad :( semoga bisa datang ya untuk papa-papa diluar sana semoga sehat selalu bisa menjadi saksi anak-anaknya sat menikah amin
1,semoga dilancarkan nikahnya dan ayahnya lekas ditemukan dalam keadan sehat tanpa kurang suatu apapun :)
1,semoga saja nikahanya lancar nya mbak jangan berlarut sedih kalau bapak tirinya enggak datang yang penting bapak kandung datang mungkin saja ada alasan anak kandung dari bapak tersebut melarang mungkin saja bapak itu sudah balikan sama istri pertamanya dan kalau sibapak datang itu berti akan mengingatkan cerita lama mungkin ya
1,yea pak polisinya pintar hahahaha langsung belok sim menembak enggak tau rambu malah meminta surat perintah yaelah lu pikir rumah lu mau digeledah
1,ini mau nikah lagi baguas deh semoga kelak jadi keluarga yang samawa
1,lucu suaranya kak abey cantik kayak orang nya terharu
1,pernah ketemu sama mbak artika sari disesemal di jakarta ampun ayune mana semampai murah senyum cakep pisan lah
1,benar kata pepatah yes buah jatuh enggak jauh dari pohon nya cantik nya dapat dari mama_nya suara bagus dan pintar nyanyi dari darah seni papa nya generasi hebat di masa depan
1,bahagianya punya anak cantik berbakat bersyukur benar dapat titipan demikian indah
1,semoga di berikan kesehatan dan rezeki yang berlimpah pak
1,semoga selalu sehat dan dimurahkan rejekinya ya pak
1,pria setia pekerja keras tidak malu pilih-pilih cari nafkah sangat sedikit sekali yang banyak kebalikan beda banget sama seseorang yang kenal mentang ganteng memilih ngangur ketimbang jadi ojol sudah begitu istri diselingkuhin lagi baik kalo ada maunya
1,doa istri dan anak menyertaimu bang lelaki yang bertangung jawab itu sangat perlu karena kalo laki tangung jawab otomatis dia akan sayang dengan anak dan istri beda dengan sayang yang belum tentu bertangung jawab
1,ya alah bahagia itu enggak harus dengan cara yang mewah sesederhana begini saja deh bahagia bisa komunikasi dengan keluarga
1,mereka hanya mencari rejeki untuk keluarganya kalau ada yang merasa tidak berkenan tolong jangan mengunakan kekerasan
1,salut sekali banting tulang demi menghidupi keluarga yang duduk di bangku empuk pakai ac malah merampok yang memilih rakyat jelata lagi
1,amin semoga selalu di lancarkan n di mudahkan rejeki nya jadi ingat waktu suami saya juga gojek dulu srg nlp nanyain anak istri nya sudah makin atau belum padahal mungkin dia sendiri entah sempat makin atau enggak walaupun hujanan n panasan tapi enggak penh mengeluh selalu menyempatkan komunikasi n tapi kep ini touch di sela kesibukanya banga n tapi berjuang nya masih gojek karena anak n istri selalu mendoakan yang terbaik
1,respect dengan istri n anak nya yang menungu dengan sabar dirumah insya alah alah swt selalu menjaga nya
1,laki-laki yang benaran berjuang unt anak istri membahagiakan istri insyalah di dunia mendapat rejeki yang enggak disangka-sangka di akherat akan ada surga kelak amin
1,banga sama suami yang selalu ingat istri disela waktunya apapun profesimu kaulah juaranya sehat terus pak gojek semoga lacar rejekimu amin
1,apaoun pekerjanya yang penting halal untuk untuk menafkahi keluarga semangat pak
1,gojek itu mayoritas peganguran yang lama enggak kerja terus hampir putus asa tapi tibatiba ada lapangan pekerjan yang enggak harus pakai ijasah terakhir ini sunguh lapangan kerja yang sangat membantu sekali menurut saya
1,aslinya cantik dan ayu loh mbak karena aku sudah bertemu langsung juga sesembaknya sangat ramah tidak sombong seperti mantan yang lain he maf ikut nimbrung kalo makeup dibuat senatural mungkin karena sesembaknya memang mau menonjolkan wa
1,suami saya seumuran sama saya mbak malah tuan saya beberapa bulan tapi alhamdulilah suami saya enggak kekanak kanakan hehe
1,doa ku semoga suaranya mas agus-sylvi benaran ke yakin kan mas agus aku pada mu
1,terima kasih mas karenamu anak muda telah berani menyuarakan perubahan kami tetap bersamamu
1,ketemu di istiqlal banga pernah jadi bagian dari dan
1,tersingkir dari kancah pilkada dki rupanya ada cara lain untuk mengangkat seseorang mendunia
1,dalam pilkada dki ahy juga mampu menunjukan kualitasnya sebagai seorang pemimpin muda yang berjiwa ksatria (ahy mendunia)
1,usai pilkada dki ahy keliling nusantara merajut persatuan bukan cuma jakarta
1,() ahy justru menitipkan pentingnya menjaga pluralisme kebangsan dan kesatuan dalam persaingan pilkada persatuan lebih penting
1,ahy memang kalah di pilkada tetapi menang di hati rakyat
1,dari pada pendukung ahok berantem terus mending kayak pendukung ahy membuat kopdar biar makin luas siapa tau jadi calon lagi
1,menurut ahy pilkada dki memberi hikmah pelajaran ujian dan tantangan yang dapat ia ambil semua itu dapat mematangkan karakternya
1,semangat terus pak ahy faktor kekalahan pada pilkada waktu kemarin itu adalah wakil pak ahy nanti maju lagi insyaloh
1,kalau dilihat upaya demokrat mengenalkan ahy cukup berhasil di pilkada jakarta dan sekarang ahy sudah mulai blusukan ke seluruh indonesia
1,prinsip kepemimpinan memenangkan sebuah pilkada belajar terus dan sangat dinamis
1,pilihan warga jakarta mayoritas bukan pada ahok tapi calon selain ahok terbukti di dua putaran pilkada dki mayoritas memilih ahy dan anies
1,lewat akun instagram ahy ucapkan selamat kepada paslon pemenang pilkada dki jakarta
1,menyeberangi selat malaka aiman kompastv yang mendapat kesempatan pertama mewawancarai ahy usai pilkada dki
1,ahy sebut pilkada dki berjalan bermartabat
1,salam kagum buat ahy masih muda berani pensiun dini berani menantang ahok di pilkada disat semua pada takut termasuk
1,pilkada dki berdoa ahy menang mudah-mudahan anies sandi yang menang
1,soal mental kalah pilkada indonesia harus berguru pada sosok ahy
1,lsi telah membuktikan kejujuran surveynya pada pilkada dki tahap- ahokdjarot disurvey langsung kalah dan ahy menang putaran
1,sehabis pilkada pileg dan pilpres saya harap ahy menjadi ketua dpr
1,sebentar lagi kita lupakan kegilan pilkada dki mari berlari bersama ahy kita mulai dari kepri april
